State,Library ID,Submission Year,Library Name,Street Address,City,Zip Code,Longitude,Latitude,State Code,County Code,County,County Population,Print_Collection_Expenditures,Digital_Collection_Expenditures,Total Collection Expenditures,Total Operating Expenditures,Print Collection,Digital Collection,Audio Collection,Library Visits,Registered Users
ME,ME0318,2015,LINCOLNVILLE COMMUNITY LIBRARY,208 MAIN STREET,LINCOLNVILLE,4849,0.0,0.0,23,27,WALDO,39051,147.0,425.0,572.0,13820.0,2974.0,7514.0,0.0,2804.0,301.0
MI,MI0010,2015,ALVAH N. BELDING MEMORIAL LIBRARY,302 EAST MAIN STREET,BELDING,48809,-85.226829,43.0977932,26,67,IONIA,64294,22723.0,1600.0,27630.0,314309.0,54116.0,1750.0,996.0,35424.0,6558.0
MI,MI0012,2015,ANN ARBOR DISTRICT LIBRARY,343 SOUTH FIFTH AVENUE,ANN ARBOR,48104,-83.746169,42.278227,26,161,WASHTENAW,356874,936466.0,160663.0,1726812.0,12070453.0,440520.0,35361.0,85250.0,1593844.0,126097.0
MI,MI0013,2015,ARMADA FREE PUBLIC LIBRARY,73930 CHURCH STREET,ARMADA,48005,-82.883266,42.84204,26,99,MACOMB,860112,19015.0,2785.0,23836.0,230541.0,24314.0,3799.0,2825.0,23472.0,2116.0
MI,MI0014,2015,ATHENS COMMUNITY LIBRARY,106 EAST BURR OAK STREET,ATHENS,49011,-85.234278,42.0886318,26,25,CALHOUN,134878,4505.0,0.0,5352.0,35516.0,7088.0,0.0,154.0,7731.0,1130.0
MI,MI0015,2015,AUBURN HILLS PUBLIC LIBRARY,3400 EAST SEYBURN DRIVE,AUBURN HILLS,48326,-83.2222184,42.6698009,26,125,OAKLAND,1237868,59285.0,16904.0,111088.0,839771.0,67309.0,8664.0,4484.0,112506.0,12840.0
MI,MI0016,2015,AUGUSTA-ROSS TOWNSHIP DISTRICT LIBRARY,105 SOUTH WEBSTER STREET,AUGUSTA,49012,-85.3518259,42.3353183,26,77,KALAMAZOO,258818,19928.0,2000.0,28571.0,197935.0,19062.0,5642.0,1024.0,37084.0,2820.0
MI,MI0017,2015,BACON MEMORIAL DISTRICT LIBRARY,45 VINEWOOD STREET,WYANDOTTE,48192,-83.148019,42.207626,26,163,WAYNE,1764804,42650.0,10000.0,73250.0,751481.0,56446.0,11028.0,4087.0,140512.0,11391.0
MI,MI0018,2015,BAD AXE AREA DISTRICT LIBRARY,200 SOUTH HANSELMAN STREET,BAD AXE,48413,-82.99738,43.8005098,26,63,HURON,32065,21382.0,2860.0,28193.0,263075.0,31205.0,5222.0,3020.0,52893.0,5000.0
MI,MI0019,2015,BALDWIN PUBLIC LIBRARY,300 WEST MERRILL STREET,BIRMINGHAM,48009,-83.2177165,42.5451376,26,125,OAKLAND,1237868,205578.0,103209.0,416710.0,2746451.0,140974.0,7290.0,9541.0,304836.0,18662.0
MI,MI0020,2015,BARRYTON PUBLIC LIBRARY,198 NORTHERN AVENUE,BARRYTON,49305,-85.147276,43.753147,26,107,MECOSTA,43186,18948.0,2250.0,23320.0,125365.0,19620.0,12577.0,827.0,16145.0,1731.0
MI,MI0021,2015,BAY COUNTY LIBRARY SYSTEM,500 CENTER AVENUE,BAY CITY,48708,-83.885365,43.597832,26,17,BAY,106179,405557.0,94002.0,563792.0,4964221.0,299732.0,3735.0,29690.0,399824.0,61205.0
MI,MI0022,2015,SUPERIOR DISTRICT LIBRARY,541 LIBRARY DRIVE,SAULT STE MARIE,49783,-84.3486161,46.4956331,26,33,CHIPPEWA,38321,90250.0,6213.0,113371.0,904874.0,182381.0,3387.0,6688.0,189046.0,15883.0
MI,MI0023,2015,BEAVER ISLAND DISTRICT LIBRARY,26400 DONEGAL BAY ROAD,BEAVER ISLAND,49782,-85.52313,45.746852,26,29,CHARLEVOIX,26121,4488.0,1500.0,6873.0,102166.0,14616.0,9661.0,540.0,13688.0,1643.0
MI,MI0024,2015,BELLAIRE PUBLIC LIBRARY,111 SOUTH BRIDGE STREET,BELLAIRE,49615,-85.2099521,44.9750848,26,9,ANTRIM,23267,21562.0,0.0,28948.0,124860.0,16959.0,0.0,1970.0,31342.0,891.0
MI,MI0025,2015,BELLEVUE TOWNSHIP LIBRARY,212 NORTH MAIN STREET,BELLEVUE,49021,-85.018111,42.445326,26,45,EATON,108579,3042.0,0.0,3042.0,29420.0,18759.0,0.0,195.0,4798.0,1943.0
MI,MI0026,2015,BRIGGS PUBLIC LIBRARY,108 EAST RAILROAD STREET,SAINT JOHNS,48879,-84.557482,43.004452,26,37,CLINTON,77297,28670.0,6980.0,43274.0,375836.0,35580.0,2921.0,2242.0,89672.0,8183.0
MI,MI0027,2015,BENTON HARBOR PUBLIC LIBRARY,213 EAST WALL STREET,BENTON HARBOR,49022,-86.4534351,42.1154725,26,21,BERRIEN,155233,44987.0,1742.0,54752.0,679619.0,102065.0,0.0,2493.0,101413.0,5218.0
MI,MI0028,2015,POTTERVILLE-BENTON TOWNSHIP DISTRICT LIBRARY,150 LIBRARY LANE,POTTERVILLE,48876,-84.742651,42.627441,26,45,EATON,108579,5555.0,381.0,6648.0,82267.0,12763.0,6336.0,310.0,10985.0,3027.0
MI,MI0029,2015,BENZONIA PUBLIC LIBRARY,891 MICHIGAN AVENUE,BENZONIA,49616,-86.099188,44.618532,26,19,BENZIE,17519,8733.0,0.0,9829.0,71289.0,14811.0,5.0,226.0,13625.0,5106.0
MI,MI0030,2015,BERKLEY PUBLIC LIBRARY,3155 COOLIDGE HIGHWAY,BERKLEY,48072,-83.183835,42.501022,26,125,OAKLAND,1237868,45516.0,4200.0,69050.0,673968.0,70447.0,20229.0,5707.0,150000.0,7960.0
MI,MI0031,2015,BERRIEN SPRINGS COMMUNITY LIBRARY,215 WEST UNION STREET,BERRIEN SPRINGS,49103,-86.3406887,41.9487571,26,21,BERRIEN,155233,23089.0,2000.0,39784.0,311553.0,49542.0,9778.0,3677.0,102415.0,6531.0
MI,MI0032,2015,BESSEMER PUBLIC LIBRARY,411 SOUTH SOPHIE STREET,BESSEMER,49911,-90.05036,46.4784362,26,53,GOGEBIC,15737,13169.0,350.0,15855.0,82447.0,14525.0,3387.0,740.0,9697.0,1044.0
MI,MI0033,2015,BETSIE VALLEY DISTRICT LIBRARY,14731 THOMPSON AVENUE,THOMPSONVILLE,49683,-85.943621,44.519457,26,19,BENZIE,17519,3800.0,0.0,4040.0,54107.0,6751.0,0.0,341.0,5785.0,1710.0
MI,MI0034,2015,DARCY LIBRARY OF BEULAH,7238 COMMERCIAL STREET,BEULAH,49617,-86.067764,44.653423,26,19,BENZIE,17519,13138.0,0.0,16559.0,89498.0,12034.0,0.0,1123.0,24471.0,1105.0
MI,MI0035,2015,BIG RAPIDS COMMUNITY LIBRARY,426 SOUTH MICHIGAN AVENUE,BIG RAPIDS,49307,-85.4818574,43.6939555,26,107,MECOSTA,43186,16328.0,3675.0,27427.0,327597.0,48592.0,476.0,1933.0,21611.0,5863.0
MI,MI0036,2015,BLAIR MEMORIAL LIBRARY,416 NORTH MAIN STREET,CLAWSON,48017,-83.146484,42.536771,26,125,OAKLAND,1237868,47828.0,0.0,55008.0,478052.0,69548.0,10764.0,5321.0,108887.0,5491.0
MI,MI0037,2015,BLOOMFIELD TOWNSHIP PUBLIC LIBRARY,1099 LONE PINE ROAD,BLOOMFIELD TOWNSHIP,48302,-83.281696,42.566769,26,125,OAKLAND,1237868,410399.0,102055.0,704449.0,5334178.0,281550.0,27539.0,22640.0,318547.0,41938.0
MI,MI0038,2015,BOYNE DISTRICT LIBRARY,201 EAST MAIN STREET,BOYNE CITY,49712,-85.0129067,45.2118464,26,29,CHARLEVOIX,26121,34032.0,8000.0,46526.0,520611.0,36739.0,10274.0,1179.0,65723.0,3870.0
MI,MI0039,2015,BRANCH DISTRICT LIBRARY,10 EAST CHICAGO STREET,COLDWATER,49036,-85.0003331,41.9405361,26,23,BRANCH,43545,48620.0,3096.0,59986.0,875352.0,117759.0,3847.0,2681.0,173233.0,21771.0
MI,MI0040,2015,BRANDON TOWNSHIP PUBLIC LIBRARY,304 SOUTH STREET,ORTONVILLE,48462,-83.4472208,42.8481548,26,125,OAKLAND,1237868,38626.0,13084.0,59466.0,872171.0,67652.0,20855.0,4204.0,82874.0,8475.0
MI,MI0041,2015,BRIDGEPORT PUBLIC LIBRARY,3399 WILLIAMSON ROAD,SAGINAW,48601,-83.9068,43.373053,26,145,SAGINAW,195012,24221.0,2400.0,28044.0,356099.0,41187.0,7000.0,912.0,80000.0,9894.0
MI,MI0042,2015,BRIDGMAN PUBLIC LIBRARY,4460 LAKE STREET,BRIDGMAN,49106,-86.5607,41.9429181,26,21,BERRIEN,155233,19828.0,5374.0,28890.0,376962.0,33541.0,6392.0,1032.0,71580.0,4869.0
MI,MI0043,2015,BRIGHTON DISTRICT LIBRARY,100 LIBRARY DRIVE,BRIGHTON,48116,-83.7907935,42.543924,26,93,LIVINGSTON,185596,94002.0,19803.0,138143.0,1566990.0,89538.0,9700.0,11121.0,193068.0,27322.0
MI,MI0044,2015,BROWN CITY PUBLIC LIBRARY,4207 MAIN STREET,BROWN CITY,48416,-82.9874019,43.2121749,26,151,SANILAC,41587,4103.0,0.0,4103.0,42766.0,14450.0,0.0,310.0,4250.0,1450.0
MI,MI0045,2015,BUCHANAN DISTRICT LIBRARY,128 EAST FRONT STREET,BUCHANAN,49107,-86.359921,41.827364,26,21,BERRIEN,155233,16195.0,2940.0,25011.0,366773.0,39228.0,6735.0,1357.0,48753.0,5614.0
MI,MI0046,2015,BULLARD SANFORD MEMORIAL LIBRARY,520 WEST HURON AVENUE,VASSAR,48768,-83.5887541,43.3723085,26,157,TUSCOLA,54000,27514.0,2845.0,32026.0,305034.0,38413.0,300.0,768.0,38473.0,6413.0
MI,MI0047,2015,BURLINGTON TOWNSHIP LIBRARY,135 ELM STREET,BURLINGTON,49029,-85.078313,42.106401,26,25,CALHOUN,134878,9620.0,973.0,13052.0,92592.0,19466.0,4486.0,536.0,11049.0,1140.0
MI,MI0048,2015,BURR OAK TOWNSHIP LIBRARY,220 SOUTH SECOND STREET,BURR OAK,49030,-85.3166768,41.8456293,26,149,ST. JOSEPH,60946,3100.0,0.0,3250.0,23450.0,16140.0,0.0,175.0,3086.0,1318.0
MI,MI0049,2015,CADILLAC WEXFORD PUBLIC LIBRARY,411 SOUTH LAKE STREET,CADILLAC,49601,-85.3997363,44.2468938,26,165,WEXFORD,32886,63853.0,12925.0,90607.0,909629.0,89487.0,8387.0,3120.0,210232.0,24590.0
MI,MI0050,2015,CALUMET PUBLIC-SCHOOL LIBRARY,57070 MINE STREET,CALUMET,49913,-88.444763,47.2469362,26,61,HOUGHTON,36495,9728.0,2076.0,12971.0,107499.0,46155.0,3387.0,1421.0,40596.0,4475.0
MI,MI0051,2015,CAMDEN TOWNSHIP LIBRARY,119 SOUTH MAIN STREET,CAMDEN,49232,-84.7575435,41.7520727,26,59,HILLSDALE,45830,6382.0,511.0,7651.0,63619.0,11902.0,0.0,834.0,9152.0,461.0
MI,MI0052,2015,CANTON PUBLIC LIBRARY,1200 SOUTH CANTON CENTER ROAD,CANTON,48188,-83.4867146,42.2977056,26,163,WAYNE,1764804,335868.0,152535.0,688238.0,4726417.0,231109.0,7662.0,27888.0,535488.0,89295.0
MI,MI0053,2015,CARP LAKE TOWNSHIP LIBRARY,35349 MALL CIRCLE DRIVE,WHITE PINE,49971,-89.574178,46.755554,26,131,ONTONAGON,6172,1461.0,0.0,2092.0,21302.0,12116.0,2621.0,340.0,3024.0,250.0
