State,Library ID,Submission Year,Library Name,Street Address,City,Zip Code,Longitude,Latitude,State Code,County Code,County,County Population,Print_Collection_Expenditures,Digital_Collection_Expenditures,Total Collection Expenditures,Total Operating Expenditures,Print Collection,Digital Collection,Audio Collection,Library Visits,Registered Users,Name,median_household_income,total_population,median_age,per_capita,education_none,education_high_school,education_ged,education_associates,education_bachelors,education_masters,education_professional,education_doctorate,state,zipcode,year,education_none_perc,education_high_school_perc,education_ged_perc,education_associates_perc,education_bachelors_perc,education_masters_perc,education_professional_perc,education_doctorate_perc
PA,PA0379,2015,SHARON HILL PUBLIC LIBRARY,246 SHARON AVE,SHARON HILL,19079,-75.2769352,39.9128199,42,45,DELAWARE,562960,7526.0,0.0,7526.0,106924.0,18476.0,0.0,195.0,24504.0,4027.0,ZCTA5 19079,9195.0,45053.0,34.4,20281.0,40.0,2477.0,206.0,474.0,474.0,378.0,45.0,22.0,42.0,19079.0,2015.0,0.0887843206889663,5.49796905866424,0.4572392515481766,1.0520942001642508,1.0520942001642508,0.8390118305107318,0.0998823607750871,0.0488313763789314
PA,PA0380,2015,SPRINGFIELD TOWNSHIP LIBRARY,70 POWELL RD,SPRINGFIELD,19064,-75.3298718,39.9303368,42,45,DELAWARE,562960,85990.0,0.0,100244.0,951761.0,110254.0,0.0,5180.0,171156.0,16147.0,ZCTA5 19064,24562.0,97556.0,43.2,38527.0,141.0,4135.0,236.0,1566.0,4420.0,2162.0,345.0,289.0,42.0,19064.0,2015.0,0.1445323711509286,4.238591168149576,0.2419123375292139,1.605231866825208,4.530731067284432,2.21616302431424,0.3536430357948255,0.2962401082455205
PA,PA0381,2015,SWARTHMORE PUBLIC LIBRARY,121 PARK AVENUE,SWARTHMORE,19081,-75.3484773,39.9012251,42,45,DELAWARE,562960,30612.0,425.0,38862.0,236791.0,49942.0,1.0,3460.0,110000.0,4465.0,ZCTA5 19081,9928.0,91013.0,37.8,43911.0,39.0,1419.0,152.0,307.0,1482.0,971.0,507.0,380.0,42.0,19081.0,2015.0,0.0428510212826739,1.559117928208058,0.1670091085888829,0.3373144495841253,1.6283388087416084,1.066880555525035,0.5570632766747607,0.4175227714722072
PA,PA0382,2015,TINICUM MEMORIAL PUB LIBRARY,620 SENECA ST,ESSINGTON,19029,-75.2824404,39.8726548,42,45,DELAWARE,562960,11861.0,0.0,12398.0,126872.0,23739.0,0.0,171.0,23860.0,2216.0,ZCTA5 19029,3984.0,47671.0,40.7,24563.0,66.0,1356.0,53.0,236.0,253.0,59.0,6.0,0.0,42.0,19029.0,2015.0,0.1384489521931572,2.844496654150322,0.111178704033899,0.4950598896603805,0.5307209834071028,0.1237649724150951,0.0125862683811961,0.0
PA,PA0383,2015,UPPER DARBY TOWNSHIP & SELLERS MEMORIAL FREE PUBLIC LIBRARY,76 SOUTH STATE RD,UPPER DARBY,19082,-75.2730571,39.9619118,42,45,DELAWARE,562960,335027.0,534765.0,885787.0,4057901.0,132904.0,13527.0,4590.0,186004.0,65288.0,ZCTA5 19082,40411.0,38691.0,32.5,18273.0,971.0,7604.0,918.0,1861.0,3744.0,1409.0,121.0,223.0,42.0,19082.0,2015.0,2.509627561965315,19.65314931120933,2.372644801116539,4.8099041120674055,9.676668992789022,3.641673774262749,0.3127342275981494,0.5763614277222093
PA,PA0384,2015,YEADON PUBLIC LIBRARY,809 LONGACRE BLVD,YEADON,19050,-75.2505982,39.9360781,42,45,DELAWARE,562960,33424.0,0.0,41527.0,358567.0,44956.0,657.0,1362.0,83935.0,6677.0,ZCTA5 19050,27983.0,52856.0,39.2,27776.0,107.0,5573.0,555.0,2087.0,3758.0,1679.0,208.0,250.0,42.0,19050.0,2015.0,0.2024368094445285,10.543741486302409,1.0500227031935827,3.94846375056758,7.10988345693961,3.176555168760405,0.393522022097775,0.4729831996367489
PA,PA0385,2015,FREE LIBRARY OF PHILADELPHIA,1901 VINE ST,PHILADELPHIA,19103,-75.1703778,39.9590982,42,101,PHILADELPHIA,1560297,3522033.0,725239.0,4975454.0,81622393.0,2588082.0,100943.0,135617.0,5663944.0,533587.0,ZCTA5 19103,23154.0,65965.0,34.9,70418.0,9.0,1531.0,150.0,354.0,7137.0,4794.0,2836.0,1432.0,42.0,19103.0,2015.0,0.0136435988781929,2.320927764723717,0.2273933146365496,0.5366482225422573,10.819373910407034,7.267490335784128,4.299249602061699,2.1708481770635943
PA,PA0386,2015,BADEN MEMORIAL LIBRARY,385 STATE ST,BADEN,15005,-80.228393,40.6352336,42,7,BEAVER,169392,4246.0,0.0,6103.0,63305.0,12220.0,3121.0,151.0,13149.0,2459.0,ZCTA5 15005,9973.0,65327.0,46.6,34206.0,23.0,2446.0,197.0,587.0,1510.0,652.0,100.0,136.0,42.0,15005.0,2015.0,0.0352074946040687,3.744240513110965,0.3015598450870237,0.8985564927212333,2.3114485587888622,0.9980559339936016,0.1530760634959511,0.2081834463544935
PA,PA0387,2015,BEAVER AREA MEMORIAL LIBRARY,100 COLLEGE AVE,BEAVER,15009,-80.3020545,40.6919126,42,7,BEAVER,169392,56833.0,1012.0,69498.0,417735.0,58918.0,3121.0,10789.0,113911.0,7969.0,ZCTA5 15009,15311.0,57557.0,47.8,30928.0,75.0,3173.0,260.0,1220.0,2552.0,1084.0,179.0,95.0,42.0,15009.0,2015.0,0.1303056100908664,5.512796010910924,0.4517261149816703,2.119637924144761,4.433865559358549,1.883350417846656,0.3109960560835346,0.1650537727817641
PA,PA0389,2015,CARNEGIE FREE LIBRARY-MIDLAND,61 NINTH ST,MIDLAND,15059,-80.4509946,40.6359754,42,7,BEAVER,169392,7361.0,623.0,9666.0,62277.0,16204.0,3121.0,250.0,13288.0,2339.0,ZCTA5 15059,3944.0,28993.0,37.0,17055.0,3.0,894.0,61.0,291.0,204.0,71.0,13.0,4.0,42.0,15059.0,2015.0,0.0103473252164315,3.083502914496602,0.2103956127341082,1.0036905459938603,0.7036181147173456,0.2448866967888801,0.0448384092712033,0.0137964336219087
PA,PA0390,2015,NEW BRIGHTON PUBLIC LIBRARY,1021 3RD AVE,NEW BRIGHTON,15066,-80.311908,40.732657,42,7,BEAVER,169392,4715.0,500.0,12163.0,86482.0,12859.0,3121.0,250.0,17432.0,2697.0,ZCTA5 15066,12451.0,45715.0,45.1,23469.0,85.0,3420.0,363.0,835.0,1111.0,503.0,67.0,43.0,42.0,15066.0,2015.0,0.1859345947719567,7.481133107295198,0.7940500929672973,1.8265339604068689,2.4302745269605164,1.1002953078858144,0.1465602099967188,0.0940610302964016
PA,PA0391,2015,APOLLO MEMORIAL LIBRARY,219 NORTH PENNSYLVANIA AVE,APOLLO,15613,-79.56605,40.583759,42,5,ARMSTRONG,67785,11187.0,0.0,12991.0,80452.0,26741.0,1846.0,180.0,10504.0,1260.0,ZCTA5 15613,14191.0,52155.0,49.1,28719.0,67.0,4327.0,374.0,1164.0,1327.0,527.0,143.0,82.0,42.0,15613.0,2015.0,0.1284632345892052,8.296424120410316,0.7170932796472055,2.2318090307736558,2.5443389895503787,1.0104496213210623,0.2741827245709903,0.1572236602435049
PA,PA0392,2015,FORD CITY PUBLIC LIBRARY,1136 FOURTH AVE,FORD CITY,16226,-79.528755,40.773656,42,5,ARMSTRONG,67785,8441.0,72.0,11119.0,114139.0,17564.0,1900.0,87.0,11350.0,1953.0,ZCTA5 16226,7896.0,41292.0,46.4,23456.0,37.0,2534.0,288.0,658.0,623.0,197.0,16.0,29.0,42.0,16226.0,2015.0,0.089605734767025,6.136781943233556,0.6974716652136007,1.5935290128838515,1.5087668313474765,0.4770899932190255,0.0387484258452,0.070231521844425
PA,PA0394,2015,KITTANNING PUBLIC LIBRARY,280 N JEFFERSON ST,KITTANNING,16201,-79.5221878,40.8166006,42,5,ARMSTRONG,67785,12378.0,26.0,13308.0,125754.0,28149.0,1846.0,834.0,25352.0,3308.0,ZCTA5 16201,18078.0,42114.0,47.2,25605.0,122.0,5707.0,720.0,1244.0,1660.0,483.0,151.0,99.0,42.0,16201.0,2015.0,0.2896898893479603,13.551313102531228,1.7096452486109133,2.9538870684333003,3.94168210096405,1.1468870209431543,0.3585506007503443,0.2350762216840005
PA,PA0396,2015,BLAIRSVILLE PUBLIC LIBRARY,113 N. WALNUT ST.,BLAIRSVILLE,15717,-79.2648207,40.4334138,42,63,INDIANA,87706,15546.0,1500.0,24432.0,99312.0,35668.0,1641.0,845.0,13575.0,2697.0,ZCTA5 15717,10823.0,46846.0,44.7,24190.0,20.0,3316.0,280.0,715.0,848.0,372.0,8.0,24.0,42.0,15717.0,2015.0,0.0426930794518208,7.078512573111899,0.597703112325492,1.5262775904025958,1.8101865687572043,0.794091277803868,0.0170772317807283,0.051231695342185
PA,PA0397,2015,INDIANA FREE LIBRARY INC,845 PHILADELPHIA ST,INDIANA,15701,-79.1552863,40.6229999,42,63,INDIANA,87706,30853.0,1081.0,38396.0,353702.0,76456.0,1691.0,2743.0,74797.0,12699.0,ZCTA5 15701,35090.0,43120.0,31.1,24313.0,130.0,5936.0,786.0,1236.0,4065.0,2206.0,413.0,878.0,42.0,15701.0,2015.0,0.3014842300556586,13.766233766233766,1.8228200371057517,2.8664192949907235,9.427179962894249,5.115955473098331,0.9577922077922078,2.036178107606679
PA,PA0399,2015,ASHLAND PUBLIC LIBRARY,1229 CENTRE ST,ASHLAND,17921,-76.346682,40.781721,42,107,SCHUYLKILL,145797,7532.0,0.0,8670.0,92913.0,18931.0,93.0,113.0,9862.0,2314.0,ZCTA5 17921,7481.0,41888.0,45.7,22022.0,29.0,2316.0,852.0,450.0,545.0,199.0,55.0,7.0,42.0,17921.0,2015.0,0.0692322383498854,5.529029793735677,2.0339954163483576,1.0742933537051185,1.301088617265088,0.4750763941940412,0.1313025210084033,0.016711229946524
PA,PA0401,2015,TRI VALLEY FREE PUBLIC LIBRARY,633 EAST MAIN ST,HEGINS,17938,-76.4304514,40.6571183,42,107,SCHUYLKILL,145797,2767.0,0.0,2985.0,42812.0,19920.0,0.0,577.0,7484.0,1094.0,ZCTA5 17938,2545.0,50625.0,42.4,23286.0,0.0,749.0,73.0,224.0,179.0,59.0,0.0,8.0,42.0,17938.0,2015.0,0.0,1.479506172839506,0.1441975308641975,0.4424691358024691,0.3535802469135802,0.1165432098765432,0.0,0.0158024691358024
PA,PA0402,2015,MAHANOY CITY PUBLIC LIBRARY,17-19 WEST MAHANOY ST.,MAHANOY CITY,17948,-76.141824,40.811183,42,107,SCHUYLKILL,145797,3130.0,557.0,3687.0,67951.0,17999.0,0.0,250.0,11543.0,4862.0,ZCTA5 17948,5015.0,31420.0,39.0,18270.0,31.0,1506.0,208.0,340.0,293.0,55.0,11.0,13.0,42.0,17948.0,2015.0,0.0986632718014003,4.793125397835773,0.6619987269255252,1.0821133036282622,0.9325270528325909,0.1750477402928071,0.0350095480585614,0.0413749204328453
